"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
""	0.2	"918 (125-9340)"	"342 (39-2076)"	"77 (1-677)"	"300 (53-2151)"	"162 (30-751)"	"58 (3-305)"
""	0.3	"784 (106-7457)"	"274 (36-1725)"	"57 (1-538)"	"256 (39-1892)"	"122 (22-607)"	"41 (2-242)"
"SFMAI"	0	"2169 (288-24232)"	"1011 (139-8226)"	"393 (23-3648)"	"913 (161-6593)"	"579 (125-2828)"	"321 (42-1496)"
""	0.1	"2070 (272-22607)"	"889 (123-6672)"	"339 (17-2894)"	"847 (152-5299)"	"496 (103-2328)"	"279 (34-1400)"
""	0.2	"1728 (222-18408)"	"788 (120-5173)"	"275 (14-2714)"	"742 (155-4934)"	"449 (93-2055)"	"230 (29-1136)"
""	0.3	"1523 (209-16205)"	"693 (97-4395)"	"229 (8-1934)"	"621 (125-4383)"	"375 (75-1612)"	"193 (23-1062)"
"SFSEC"	0	"1171 (140-10637)"	"563 (80-3446)"	"207 (10-1643)"	"481 (87-3171)"	"293 (58-1479)"	"152 (21-716)"
""	0.1	"1092 (152-10346)"	"444 (63-3513)"	"167 (9-1588)"	"420 (80-3068)"	"259 (51-1262)"	"126 (13-679)"
""	0.2	"908 (130-9762)"	"408 (53-2935)"	"141 (5-1463)"	"377 (74-2462)"	"220 (44-1110)"	"103 (11-522)"
""	0.3	"847 (117-8829)"	"342 (52-2179)"	"119 (3-985)"	"311 (62-2231)"	"180 (39-879)"	"85 (9-493)"
"SNTUC"	0	"1381 (163-15756)"	"479 (57-2945)"	"86 (1-1038)"	"419 (69-3667)"	"190 (31-997)"	"62 (3-505)"
""	0.1	"1223 (116-13908)"	"389 (44-2634)"	"66 (1-674)"	"354 (56-3030)"	"141 (24-795)"	"44 (2-375)"
""	0.2	"1057 (132-10933)"	"299 (37-2236)"	"47 (0-557)"	"266 (44-2686)"	"108 (15-634)"	"28 (1-278)"
""	0.3	"800 (90-10006)"	"238 (25-2059)"	"29 (0-448)"	"198 (28-2138)"	"70 (9-466)"	"17 (0-182)"
"SREFS"	0	"2129 (251-20246)"	"807 (111-5970)"	"205 (5-1790)"	"679 (128-5576)"	"377 (70-1752)"	"134 (7-914)"
""	0.1	"1913 (232-21812)"	"641 (89-4808)"	"154 (2-1438)"	"607 (99-5255)"	"310 (58-1398)"	"100 (5-713)"
""	0.2	"1645 (210-17169)"	"536 (73-3610)"	"118 (2-1067)"	"508 (84-3946)"	"232 (43-1206)"	"73 (4-554)"
""	0.3	"1345 (153-15113)"	"442 (58-3253)"	"80 (1-751)"	"389 (58-3301)"	"167 (27-909)"	"48 (2-413)"
"SRLEM"	0	"1753 (201-19569)"	"581 (74-4308)"	"108 (2-1319)"	"534 (84-3887)"	"234 (35-1195)"	"82 (4-576)"
""	0.1	"1482 (149-16280)"	"485 (57-3922)"	"81 (1-891)"	"447 (68-3781)"	"185 (34-1121)"	"56 (2-434)"
""	0.2	"1248 (133-15171)"	"368 (44-3048)"	"59 (0-757)"	"360 (52-2799)"	"140 (21-720)"	"37 (2-349)"
""	0.3	"1060 (106-13938)"	"273 (34-2200)"	"37 (0-404)"	"246 (35-2404)"	"93 (13-484)"	"22 (1-250)"
"SRLMA"	0	"597 (83-6003)"	"250 (36-1712)"	"92 (5-815)"	"226 (43-1735)"	"143 (28-710)"	"73 (10-380)"
""	0.1	"492 (58-5288)"	"224 (33-1731)"	"82 (4-732)"	"194 (39-1416)"	"128 (26-606)"	"63 (7-347)"
""	0.2	"452 (62-4720)"	"208 (30-1388)"	"66 (3-595)"	"176 (33-1341)"	"105 (24-493)"	"51 (6-318)"
""	0.3	"410 (54-3904)"	"163 (26-1129)"	"51 (2-500)"	"157 (27-1007)"	"90 (19-429)"	"42 (4-230)"
"SRNFS"	0	"274 (37-3156)"	"118 (16-1011)"	"40 (1-380)"	"106 (21-806)"	"64 (13-299)"	"30 (3-173)"
""	0.1	"259 (35-2865)"	"98 (14-785)"	"32 (1-331)"	"93 (17-698)"	"55 (10-239)"	"25 (2-158)"
""	0.2	"219 (33-2629)"	"91 (11-652)"	"25 (1-252)"	"83 (14-677)"	"45 (7-216)"	"19 (2-109)"
""	0.3	"193 (23-2273)"	"73 (10-547)"	"18 (0-190)"	"64 (12-555)"	"35 (8-216)"	"14 (1-90)"
"SRPAH"	0	"1151 (123-14641)"	"455 (46-3311)"	"105 (2-1188)"	"354 (65-3529)"	"197 (35-976)"	"76 (4-557)"
